date,day,month,year,pm_2_5
2022-04-22,22,4,2022,15.3780073682026
2022-04-23,23,4,2022,13.774196430145278
2022-04-24,24,4,2022,16.848601511535982
2022-04-25,25,4,2022,14.333573985045144
2022-04-26,26,4,2022,10.003259021485102
2022-04-27,27,4,2022,9.88389787982338
2022-04-28,28,4,2022,13.46074253468984
2022-04-29,29,4,2022,13.88670093032184
2022-04-30,30,4,2022,12.392829210020713
2022-05-01,1,5,2022,12.17762600907602
2022-05-02,2,5,2022,14.60903211546088
2022-05-03,3,5,2022,9.70949277853455
2022-05-04,4,5,2022,9.411613648698289
2022-05-05,5,5,2022,10.906643777606773
2022-05-06,6,5,2022,9.436221314146833
2022-05-07,7,5,2022,12.205682850235748
2022-05-08,8,5,2022,12.017822416409814
2022-05-09,9,5,2022,9.365094067711931
2022-05-10,10,5,2022,10.610334097191082
2022-05-11,11,5,2022,16.82446731653788
2022-05-12,12,5,2022,13.308877906476225
2022-05-13,13,5,2022,18.623390577228687
2022-05-14,14,5,2022,15.037092441034089
2022-05-15,15,5,2022,8.73096390820266
2022-05-16,16,5,2022,4.924453666348435
2022-05-17,17,5,2022,3.9476603813402766
2022-05-18,18,5,2022,5.492272380993173
2022-05-19,19,5,2022,9.73025249453249
2022-05-20,20,5,2022,8.0998785979656
2022-05-21,21,5,2022,6.111502538718722
2022-05-22,22,5,2022,7.67736384384626
2022-05-23,23,5,2022,4.826387484516777
2022-05-24,24,5,2022,9.380405067340726
2022-05-25,25,5,2022,13.302099624443777
2022-05-26,26,5,2022,6.740897968364904
2022-05-27,27,5,2022,4.352359846794008
2022-05-28,28,5,2022,5.258286960018389
2022-05-29,29,5,2022,4.426738821960288
2022-05-30,30,5,2022,4.518528896868348
2022-05-31,31,5,2022,6.476093811786483
2022-06-01,1,6,2022,4.682303397042674
2022-06-02,2,6,2022,2.31891700726574
2022-06-03,3,6,2022,4.712816334264472
2022-06-04,4,6,2022,4.887599723304106
2022-06-05,5,6,2022,5.207572095876688
2022-06-06,6,6,2022,5.739996096916657
2022-06-07,7,6,2022,5.537926260978931
2022-06-08,8,6,2022,7.38799033490448
2022-06-09,9,6,2022,7.464603922206594
2022-06-10,10,6,2022,5.660268248039401
2022-06-11,11,6,2022,4.89101546430948
2022-06-12,12,6,2022,4.991950283079431
2022-06-13,13,6,2022,7.249657564925701
2022-06-14,14,6,2022,8.767948328058154
2022-06-15,15,6,2022,9.596005691561883
2022-06-16,16,6,2022,11.657187091602642
2022-06-17,17,6,2022,11.4270122333858
2022-06-18,18,6,2022,11.940370551406485
2022-06-19,19,6,2022,10.452214325099394
2022-06-20,20,6,2022,9.815391645889989
2022-06-21,21,6,2022,6.558806347818655
2022-06-22,22,6,2022,5.148637704223339
2022-06-23,23,6,2022,5.925746876757107
2022-06-24,24,6,2022,3.36118685086796
2022-06-25,25,6,2022,3.920246265469168
2022-06-26,26,6,2022,6.313213844983528
2022-06-27,27,6,2022,9.330582314031002
2022-06-28,28,6,2022,17.893287831179457
2022-06-29,29,6,2022,12.134011951388734
2022-06-30,30,6,2022,5.3807742996245205
2022-07-01,1,7,2022,7.361200350653228
2022-07-02,2,7,2022,7.80621068652562
2022-07-03,3,7,2022,11.900495948477698
2022-07-04,4,7,2022,17.614132113126214
2022-07-05,5,7,2022,7.003953754591815
2022-07-06,6,7,2022,5.583992127451057
2022-07-07,7,7,2022,7.675113773427136
